scored mountain-days: 1140, changed: 144
name day score_0.1 score_0.5 wet_0.1 wet_0.5 | hours 0.1-0.4 / >=0.5 (whole day, MSM) | max mm/h | day sum mm
唐松岳          2026-09-20   66.8 ->   66.8  50.0(7/14h M 湿2) 1.2mm -> 50.0(7/14h M 湿6) 1.2mm |  7 /  3 | 1.6 | 4.1
西穂高岳         2026-09-21   25.6 ->   25.6  88.8(12.4/14h M11 確3 湿6) 14.0mm -> 88.8(12.4/14h M11 確3 湿7) 14.0mm |  1 /  9 | 9.2 | 40.5
乗鞍岳(剣ヶ峰)     2026-09-21   23.5 ->   23.5  92.5(13/14h M11 確3 湿2) 13.0mm -> 92.5(13/14h M11 確3 湿5) 13.0mm |  3 / 11 | 8.7 | 41.7
美ヶ原(王ヶ頭)     2026-09-19   57.2 ->   57.2  50.0(7/14h M 湿4) 0.7mm -> 50.0(7/14h M 湿7) 0.7mm |  4 /  0 | 0.4 | 1.0
美ヶ原(王ヶ頭)     2026-09-20    0.0 ->    0.0  100.0(14/14h M) 30.4mm -> 100.0(14/14h M 湿1) 30.4mm |  1 / 18 | 5.1 | 45.3
美ヶ原(王ヶ頭)     2026-09-21    0.0 ->    0.0  87.9(12.3/14h M11 確3 湿5) 79.0mm -> 87.9(12.3/14h M11 確3 湿6) 79.0mm |  1 / 10 | 27.2 | 159.7
霧ヶ峰(車山)      2026-09-19   61.0 ->   61.0  42.9(6/14h M 湿1) 3.1mm -> 42.9(6/14h M 湿2) 3.1mm |  3 /  4 | 1.2 | 3.3
霧ヶ峰(車山)      2026-09-20    0.0 ->    0.0  100.0(14/14h M) 25.7mm -> 100.0(14/14h M 湿1) 25.7mm |  1 / 18 | 3.5 | 37.3
北横岳          2026-09-19   41.7 ->   41.7  64.3(9/14h M 湿3) 4.0mm -> 64.3(9/14h M 湿5) 4.0mm |  4 /  5 | 1.2 | 4.9
北横岳          2026-09-21    0.0 ->    0.0  92.3(12.9/14h M11 確3 湿3) 47.1mm -> 92.3(12.9/14h M11 確3 湿4) 47.1mm |  1 / 12 | 20.3 | 120.8
甲斐駒ヶ岳        2026-09-19   51.3 ->   51.3  50.0(7/14h M 湿3) 4.0mm -> 50.0(7/14h M 湿4) 4.0mm |  4 /  3 | 1.6 | 4.8
北岳           2026-09-19   54.9 ->   54.9  50.0(7/14h M 湿2) 5.0mm -> 50.0(7/14h M 湿3) 5.0mm |  1 /  6 | 2.0 | 6.1
